5x5_Replace_Notraffic_RandomLoc
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,3,3,3
2,3.5,3.5,3.5
3,3.33333,3.33333,3.33333
4,3,3,3
6,3.5,3,3
8,3.625,3.125,3.125
12,3.16667,2.91667,2.91667
16,3.3125,3.375,3.25
24,4,3.66667,3.58333
32,4.53125,4.0625,4.03125
48,4.9375,4.85417,4.45833
64,5.375,6.01562,4.96875
96,6.36458,6.58333,6.03125
128,7.21875,7.69531,6.97656
192,9.08854,9.375,8.70833
256,10.9961,11.6094,10.7422
384,14.7656,16.5312,15.2812
512,18.8359,20.7715,19.1426
768,27.0885,30.7396,27.7188
1024,35.0674,39.123,35.8828
