10x10_Replace_Notraffic_RushHour
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,12,12,12
2,12,12,12
3,11.6667,11.6667,11.6667
4,11.25,11,11
6,13,12.6667,12.5
8,12.5,12.125,12
12,13.9167,13.0833,12.5833
16,13.5625,12.75,12.1875
24,14.4583,13.4583,13.0417
32,15.6875,14.1875,13.5
48,17.75,16.4167,14.4583
64,19.4531,17.7812,15.7656
96,24.8542,23.1354,18.6146
128,29.8594,27.5469,21.4766
192,39.9635,36.5625,25.8698
256,48.2969,44.207,30.5664
384,65.5417,63.3464,39.5521
512,85.2578,83.1328,48.2617
768,117.311,116.27,64.9818
1024,155.34,154.191,80.9648
