3x3_Replace_100%traffic_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,4,4,4
2,3,3,3
3,2.33333,2.33333,2.33333
4,1.75,1.75,1.75
6,2,2.16667,2
8,1.875,1.875,1.875
12,1.83333,2.08333,2.08333
16,3.3125,3.0625,3.1875
24,3.66667,3.5,3.625
32,3.96875,4.0625,4.34375
48,4.79167,5.8125,5.52083
64,5.9375,7.125,6.98438
96,9.15625,10.375,9.58333
128,11.7031,12.2969,11.5234
192,15.2656,17.2448,15.8281
256,18.4102,21.1758,20.2969
384,29.1849,32.4557,32.8828
512,37.8184,45.4512,43.9297
768,55.6862,65.9271,64.7839
1024,72.2305,86.4414,85.3184
