10x10_Replace_500%traffic_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,10,10,10
2,8,8,8
3,6,6,6
4,6.5,6.75,6.5
6,6.33333,6.16667,6.33333
8,7.125,7.25,6.875
12,7,7.83333,7.5
16,7.125,7.3125,6.25
24,9.66667,10.875,8.79167
32,8.8125,10.4375,8.40625
48,11.5833,15.4167,11.8542
64,12.9531,15.0625,11.9375
96,15.7708,19.0521,15.1042
128,20.7734,25.8984,19.7188
192,24.7552,30.5104,25.1927
256,29.582,34.2305,30.0156
384,47.5781,56.4505,47.3255
512,57.0117,66.6562,58.0254
768,89.5742,101.337,90.4049
1024,110.674,126.832,114.45
