15x15_Replace_Notraffic_RandomLoc
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,15,15,15
2,11,11,11
3,8.66667,8.66667,8.66667
4,11.5,11.5,11.5
6,10.1667,10.1667,10.1667
8,10.375,10.375,10.375
12,11.0833,11.0833,11.0833
16,10.75,10.625,10.625
24,10.7917,10.7083,10.7083
32,10.6875,10.7812,10.6562
48,11,11.0833,10.9792
64,10.4688,10.5469,10.2656
96,10.7396,10.8542,10.6458
128,11.1953,11.3828,10.8516
192,11.9219,12.4635,11.4844
256,12.125,13.1445,11.6289
384,13.3802,15.401,12.6615
512,14.8105,18.1582,14.1191
768,18.3021,24.2253,17.2826
1024,21.0928,29.0596,20.2607
