10x10_Replace_Notraffic_Ring
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,2,2,2
2,4.5,4.5,4.5
3,4.33333,4.66667,4.66667
4,3.75,3.75,3.75
6,4,3.83333,3.83333
8,4.875,4.75,4.75
12,5.08333,5,5
16,5.8125,5.8125,5.75
24,6,5.83333,5.79167
32,5.875,5.84375,5.71875
48,6.4375,6.4375,6.14583
64,6.75,6.79688,6.5625
96,7.61458,7.91667,7.04167
128,8.32812,9,7.60938
192,9.25,10.3958,8.85938
256,10.2539,11.5664,9.83203
384,12.8385,14.1146,11.6328
512,14.957,16.0723,13.3906
768,18.9102,20.3438,16.4323
1024,24.0586,25.3857,20.9414
