20x20_Replace_Notraffic_RandomLoc
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,16,16,16
2,19,19,19
3,19,19,19
4,18.25,18.25,18.25
6,15.5,15.5,15.5
8,14,14,14
12,13.25,13.25,13.25
16,14.6875,14.625,14.5625
24,13.375,13.375,13.375
32,13.3125,13.2812,13.2812
48,13.0417,13.0208,13.0417
64,13.8438,13.875,13.7969
96,13.5208,13.6354,13.4062
128,13.8281,13.8359,13.5234
192,13.901,14.4479,13.5365
256,14.6133,15.3945,14.25
384,15.2292,17.0156,14.7656
512,16.1504,18.668,15.6523
768,18.2656,22.5091,17.6849
1024,20.7812,26.6309,20.1641
