3x3_Replace_500%traffic_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,2,2,2
2,1,1,1
3,1.33333,1.33333,1.33333
4,2.75,3,3
6,2.5,2.5,2.5
8,2.75,3.25,3.25
12,4.08333,5.08333,4.16667
16,6.875,7.125,6.5625
24,7.375,8.16667,7.91667
32,8.625,8.53125,8.90625
48,12.0208,12.4167,12.2292
64,12.3281,15.0938,13.0156
96,23.4479,29.1146,28.8438
128,26.9766,29.5391,30.5625
192,38.9271,49.5417,48.2969
256,45.2812,61.6797,60.2188
384,74.9922,97.6536,92.3984
512,92.2891,125.262,124.652
768,158.975,211.581,193.921
1024,202.59,264.719,250.48
