10x10_Replace_Notraffic_RandomLoc
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,16,16,16
2,11.5,11.5,11.5
3,10,10,10
4,8.75,8.75,8.75
6,8.83333,8.83333,8.83333
8,7.875,7.875,7.875
12,7.33333,7.41667,7.41667
16,7.375,7.3125,7.3125
24,6.70833,6.70833,6.66667
32,6.34375,6.40625,6.3125
48,6.25,6.25,6.125
64,6.78125,6.92188,6.625
96,7.63542,8.15625,7.5
128,8.53906,9.22656,8.3125
192,9.42188,10.6458,9.22917
256,10.4844,11.9805,10.0781
384,12.8281,15.1745,12.224
512,15.1934,17.9688,14.6094
768,19.8424,23.7799,19.2852
1024,25.0664,30.3418,24.4326
