10x10_Replace_100%traffic_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,12,12,12
2,8.5,8.5,8.5
3,9.66667,9.33333,9.33333
4,4.75,4.75,4.75
6,5.5,5.33333,5.33333
8,6,5.75,5.75
12,5.66667,5.75,5.75
16,5.3125,5.4375,5.25
24,5.66667,5.45833,5.45833
32,5.78125,5.90625,5.75
48,7.35417,7.22917,6.77083
64,7.98438,8.60938,7.71875
96,9.48958,10.9583,9.42708
128,10.9453,12.3672,10.3125
192,11.2031,12.9219,10.5573
256,14.0078,16.1328,13.5039
384,20.0495,23.151,19.3307
512,23.9023,27.7988,23.373
768,32.1497,39.6523,32.7409
1024,41.5977,50.6299,42.0605
