15x15_Replace_Notraffic_RushHour
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,19,19,19
2,17,17,17
3,17.6667,17.6667,17.6667
4,19.5,19.5,19.5
6,19,19,19
8,18.375,18.375,18.375
12,19.75,19.5833,19.4167
16,19.6875,19.4375,19.125
24,21,19.875,19.4167
32,21.9375,21.1562,19.9688
48,24.5625,23.3958,20.7292
64,26.875,24.5781,21.2188
96,30.5938,28.0208,22.5104
128,35.0781,32.3359,24.3672
192,46.3021,40.6979,28.724
256,55.2461,47.8711,31.4531
384,73.1224,62.5052,38.4453
512,91.8945,77.5508,45.1484
768,130.309,106.259,57.5404
1024,173.709,140.988,69.8252
