3x3_Replace_100%trafficAlg3_Random
Number of Tracked Cars, Algorithm 1, Algorithm 2, Algorithm 3
1,1,1,1
2,2,2,2
3,2,2,2
4,2.5,2.5,2.25
6,3.66667,3.5,3.33333
8,3.25,2.75,2.75
12,2.08333,1.91667,1.83333
16,2.3125,2.1875,2.3125
24,3.70833,4.04167,3.83333
32,4.53125,4.84375,4.875
48,5.02083,5.75,5.625
64,5.76562,6.98438,6.29688
96,8.0625,9.19792,8.44792
128,10.0078,12.4453,11.7266
192,15.25,17.4427,17.026
256,19.8945,22.6016,21.9375
384,28.7969,33.0234,32.2839
512,36.8301,44.0781,42.0957
768,53.1536,64.3229,62.0638
1024,71.4883,86.7627,83.2168
